S.No,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha),Ground Water Recharge (ham),Inflows and Outflows (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),Quality Tagging,Additional Potential Resources Under Specific Conditions(ham),Coastal Areas,In-Storage Unconfined Ground Water Resources(ham),Total Ground Water Availability in Unconfined Aquifier (ham),Dynamic Confined Ground Water Resources(ham),In-Storage Confined Ground Water Resources(ham),Total Confined Ground Water Resources (ham),Dynamic Semi Confined Ground Water Resources (ham),In-Storage Semi Confined Ground Water Resources (ham),Total Semi-Confined Ground Water Resources (ham),Total Ground Water Availability in the area (ham)
287,KARNATAKA,Chitradurga,517,14440,418.07,0,3028.91,302.89,2726.02,196.684119,149.587310437928,204.02,0,0,0,0,0,35861.46,0,0,0,0,0,0,35861.46
288,KARNATAKA,Dakshina Kannada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67397.96,0,0,0,0,0,0,67397.96
289,KARNATAKA,Davanagere,743.280655561526,148880,6196.94,0,41374.62,4137.47,37237.15,2351.272914,50.355196356327,2402.04,18435.54,0,0,0,0,55387.52,0,0,0,0,0,0,55387.52
290,KARNATAKA,Dharwad,764.680490812243,70964,3038.83,0,5896.51,589.65,5306.86,289.17198,57.5536192776896,296.21,2245.53,0,0,0,0,29153.1,0,0,0,0,0,0,29153.1
291,KARNATAKA,Gadag,696.524761528475,177170,5612.6,0,16529.75,1652.98,14876.77,373.280682,60.4182225039441,411.7,5850.07,0,0,0,0,29875.57,0,0,0,0,0,0,29875.57
292,KARNATAKA,Hassan,841.507465357673,117342,5943.68,0,33302.81,3330.28,29972.53,219.806358,41.85072131048,225.97,17422.65,0,0,0,0,76572.08,0,0,0,0,0,0,76572.08
293,KARNATAKA,Haveri,764.685196618262,187241,8111.63,0,31683.58,3168.35,28515.23,667.90671246,55.1909979333851,767.22,12853.46,0,0,0,0,51519.57,0,0,0,0,0,0,51519.57
294,KARNATAKA,Kalburgi,810.147174343115,351812,15833.69,0,20441.69,2044.18,18397.51,1575.10494,34.7867184200471,1681.67,12190.7,0,0,0,0,64712.9,0,0,0,0,0,0,64712.9
295,KARNATAKA,Kodagu,962.78,5287,285.05,0,2338.56,233.86,2104.7,12.0411675,66.7767377773555,12.2,699.09,0,0,0,0,21995.53,0,0,0,0,0,0,21995.53
296,KARNATAKA,Kolara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37087.58,0,0,0,0,0,0,37087.58
297,KARNATAKA,Koppal,607.123486587374,230119,7823.79,0,40697.35,4069.72,36627.63,1419.380172,29.5660407184412,1495.46,25722.21,0,0,0,0,58646.01,0,0,0,0,0,0,58646.01
298,KARNATAKA,Mandya,741.358920253094,322094,14145.74,0,54193.04,5419.31,48773.73,2721.586365,46.5272801567565,2757.74,26044.48,0,0,0,0,64983.63,0,0,0,0,0,0,64983.63
299,KARNATAKA,Mysuru,787.699621681796,220978,10597.46,0,31022.29,3102.25,27920.04,1309.63329695,48.1058408225776,1350.66,14447.84,0,0,0,0,61955.7,0,0,0,0,0,0,61955.7
300,KARNATAKA,Raichur,604.39354207057,443588,17423.81,0,58519.28,5851.92,52667.36,1876.4039355,33.6955943871119,2052.32,34744.85,0,0,0,0,71350.36,0,0,0,0,0,0,71350.36
301,KARNATAKA,Shivamogga,793.182561761945,80956,3595.92,0,31840.56,3184.06,28656.5,206.3329305,19.1401950691815,210.55,23167.38,0,0,0,0,99325.95,0,0,0,0,0,0,99325.95
302,KARNATAKA,Tumakuru,796.028337299094,202147,9764.48,0,25482.49,2548.26,22934.23,1419.196869,37.5810742283478,1467.82,14266.68,0,0,0,0,76273.27,0,0,0,0,0,0,76273.27
303,KARNATAKA,Udupi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46689.95,0,0,0,0,0,0,46689.95
304,KARNATAKA,Uttara Kannada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82649.02,0,0,0,0,0,0,82649.02
305,KARNATAKA,Vijayanagara,673.774794843769,57639,2186.8,0,8467.96,846.8,7621.16,177.874866,59.936282665631,187.14,4141.71,0,0,0,0,36049.18,0,0,0,0,0,0,36049.18
306,KARNATAKA,Vijayapura,612.041835345987,968711.943773025,57584.4,0,91368.04,9136.82,82231.22,4882.862763,41.354500152132,5041.58,48066.19,0,0,0,0,88570.84,0,0,0,0,0,0,88570.84
307,KARNATAKA,Yadgir,832.929036469517,349278,15842.46,0,45838.7,4583.88,41254.82,2118.9284775,21.7746920238653,2226.92,32163.72,0,0,0,0,54050.99,0,0,0,0,0,0,54050.99
308,KERALA,ALAPPUZHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35637.41,0,202.28,202.28,0,0,0,35637.41
309,KERALA,ERNAKULAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47195.15,0.68,119.22,119.92,0,0,0,47195.15
310,KERALA,IDUKKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19144.17,0.08,10.78,10.86,0,0,0,19144.17
311,KERALA,KANNUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40609.53,5,81.99,87,0,0,0,40609.53
312,KERALA,KASARGOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31704.84,1.28,40.69,41.97,0,0,0,31704.84
313,KERALA,KOLLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33809.73,5.31,108.66,113.97,0,0,0,33809.73
314,KERALA,KOTTAYAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37768.01,2.62,143.85,146.45,0,0,0,37768.01
315,KERALA,KOZHIKKODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25266.8,56689.48,0,0,0,0,0,0,56689.48
316,KERALA,MALAPPURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47560.02,2.13,112.55,114.68,0,0,0,47560.02
317,KERALA,PALAKKAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58416.54,0,0,0,0,0,0,58416.54
318,KERALA,PATHANAMTHITTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23773.45,0,0,0,0,0,0,23773.45
319,KERALA,THIRUVANANTHAPURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26767.67,2.45,76.53,78.98,0,0,0,26767.67
320,KERALA,THRISSUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57841.72,2.27,102.82,105.08,0,0,0,57841.72
321,KERALA,WAYANAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21315.69,0.03,15.02,15.05,0,0,0,21315.69
322,LADAKH,KARGIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404.78,0,0,0,0,0,0,1404.78
323,LADAKH,LEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4662.92,0,0,0,0,0,0,4662.92
324,LAKSHDWEEP,AMINI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5,0,0,0,0,0,0,127.5
325,LAKSHDWEEP,ANDROTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.91,0,0,0,0,0,0,161.91
326,LAKSHDWEEP,KAVARATTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.17,0,0,0,0,0,0,136.17
327,LAKSHDWEEP,KILTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.22,0,0,0,0,0,0,58.22
328,LAKSHDWEEP,MINICOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.68,0,0,0,0,0,0,86.68
329,MADHYA PRADESH,AGAR MALWA,1036.1,11375,1013.36,0,2954.25,147.71,2806.54,96.49359,24.3142802169219,101.86,2118.78,0,0,0,0,41448.22,0,0,0,0,0,0,41448.22
330,MADHYA PRADESH,ALIRAJPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22005.87,0,0,0,0,0,0,22005.87
331,MADHYA PRADESH,ANUPPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28238.41,0,0,0,0,0,0,28238.41
332,MADHYA PRADESH,ASHOKNAGAR,932.11215496368,20650,1276.85,0,5869.01,293.46,5575.55,88.34898,20.1198088080997,92.05,4450.06,0,0,0,0,36992.54,0,0,0,0,0,0,36992.54
333,MADHYA PRADESH,BALAGHAT,1471.6,101503,7994.48,0,10518.41,743.53,9774.88,483.93744,24.2798888579706,499.1,7386.39,0,0,0,0,71905.86,0,0,0,0,0,0,71905.86
334,MADHYA PRADESH,BARWANI,742.5,68712,5361.05,0,18403.14,920.16,17482.98,599.22999,17.7859266555244,641.12,14331.58,0,0,0,0,53282.74,0,0,0,0,0,0,53282.74
335,MADHYA PRADESH,BETUL,1081.3,26248,2596.37,0,9287.96,529.71,8758.25,556.81845,25.1650729312363,578.52,6532.52,0,0,0,0,100139.54,0,0,0,0,0,0,100139.54
336,MADHYA PRADESH,BHIND,951,179891,30952.86,0,40847.73,2042.38,38805.35,1263.88623,15.0915015584191,1315.09,32897.85,0,0,0,0,90366.5,0,0,0,0,0,0,90366.5
337,MADHYA PRADESH,BHOPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37553.3,0,0,0,0,0,0,37553.3
338,MADHYA PRADESH,BURHANPUR,883.8,11289,1056.85,0,3140.02,157,2983.02,152.22252,18.1678299173321,160.9,2432.39,0,0,0,0,34227.25,0,0,0,0,0,0,34227.25
339,MADHYA PRADESH,CHHATARPUR,1095.1,116640,8345.51,0,15976.61,798.81,15177.8,619.32543,17.0718417688993,652.3,12553.69,0,0,0,0,83792.73,0,0,0,0,0,0,83792.73
340,MADHYA PRADESH,CHHINDWARA,1221.6,13311,1039.41,0,3591.99,297.05,3294.94,82.344,25.8957674494832,84.19,2439.85,0,0,0,0,101671.1,0,0,0,0,0,0,101671.1
341,MADHYA PRADESH,DAMOH,1176,57667,3002.29,0,9339.42,466.98,8872.44,300.76584,10.5266420511156,313.59,7925.64,0,0,0,0,37629.53,0,0,0,0,0,0,37629.53
342,MADHYA PRADESH,DATIA,963.8,132097,21853.86,0,27947.57,1397.37,26550.2,671.54379,26.0545306626692,708.4,19595.8,0,0,0,0,47093.81,0,0,0,0,0,0,47093.81
343,MADHYA PRADESH,DEWAS,1069,18544,1774.33,0,3272.46,188.04,3084.42,128.09529,19.307033413089,137.06,2479.95,0,0,0,0,83477.67,0,0,0,0,0,0,83477.67
344,MADHYA PRADESH,DHAR,902.3,149070,13672.98,0,45345.27,2267.28,43077.99,1076.12439,17.9140438075221,1135,35302.09,0,0,0,0,131206.6,0,0,0,0,0,0,131206.6
345,MADHYA PRADESH,DINDORI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31195.49,0,0,0,0,0,0,31195.49
346,MADHYA PRADESH,GUNA,1082,37209,3675.83,0,10589.29,529.48,10059.81,166.6809,15.5407507696467,177.01,8486.12,0,0,0,0,84869.77,0,0,0,0,0,0,84869.77
347,MADHYA PRADESH,GWALIOR,879,131133,17037.17,0,37956.65,1897.83,36058.82,341.66628,12.6066798636228,350.68,31503.98,0,0,0,0,77181.79,0,0,0,0,0,0,77181.79
348,MADHYA PRADESH,HARDA,1374.5,79150,10632.24,0,26144.16,1307.2,24836.96,187.43115,6.93249093286779,197.31,23105.26,0,0,0,0,45328.04,0,0,0,0,0,0,45328.04
349,MADHYA PRADESH,HOSHANGABAD,1437.7,253623,73043.73,0,113691.01,5684.55,108006.46,961.21509,8.81014894849808,993.58,98458.57,0,0,0,0,177429.31,0,0,0,0,0,0,177429.31
350,MADHYA PRADESH,INDORE,941.4,5376,499.83,0,1166.99,58.35,1108.64,151.66407,57.5524967527782,158.26,464,0,0,0,0,54343.51,0,0,0,0,0,0,54343.51
351,MADHYA PRADESH,JABALPUR,1227.3,80876,13893.72,0,18466.82,923.34,17543.48,457.5156375,29.5961234601117,473.06,12335.75,0,0,0,0,61176.52,0,0,0,0,0,0,61176.52
352,MADHYA PRADESH,JHABUA,849.1,17018,1869.03,0,4265.52,213.27,4052.25,128.81361,10.1506570423839,142.35,3627.38,0,0,0,0,25879.42,0,0,0,0,0,0,25879.42
353,MADHYA PRADESH,KATNI,1171.4,33404,2258.43,0,4564.61,228.24,4336.37,237.93693,16.941589393894,251.52,3588.14,0,0,0,0,39438.3,0,0,0,0,0,0,39438.3
354,MADHYA PRADESH,KHANDWA,950.3,92560,7545.34,0,62450.94,5920.78,56530.16,555.55263,5.61001419419298,584.26,53330.1,0,0,0,0,113880.01,0,0,0,0,0,0,113880.01
355,MADHYA PRADESH,KHARGONE,950.3,161918,13519.91,0,42201.62,2801.3,39400.32,1264.31985,12.4435283774345,1335.96,34425.88,0,0,0,0,95285.05,0,0,0,0,0,0,95285.05
356,MADHYA PRADESH,MANDLA,1445.1,31070,2519.31,0,5373.37,268.67,5104.7,342.6474,13.1594412991949,357.97,4417.63,0,0,0,0,45263.46,0,0,0,0,0,0,45263.46
357,MADHYA PRADESH,MANDSAUR,880.9,74088,7217.38,0,12610.61,630.54,11980.07,361.61499,48.6199997161953,372.77,6144.21,0,0,0,0,65882.14,0,0,0,0,0,0,65882.14
358,MADHYA PRADESH,MORENA,753,224789,30532.88,0,46279.03,2313.96,43965.07,2902.34787,33.0299940384492,3071.85,29273.91,0,0,0,0,67576.52,0,0,0,0,0,0,67576.52
359,MADHYA PRADESH,NARSINGHPUR,1243.1,52769,11898.4,0,14635.53,731.77,13903.76,106.29384,9.08380179174554,109.75,12637.32,0,0,0,0,119778.25,0,0,0,0,0,0,119778.25
360,MADHYA PRADESH,NEEMUCH,850.2,17976,1110.79,0,2032.47,101.63,1930.84,96.50016,61.4571896169543,99.6,741.1,0,0,0,0,37191.72,0,0,0,0,0,0,37191.72
361,MADHYA PRADESH,NIWARI,1070.3,12830,1287.9,0,3121.01,156.06,2964.95,164.36826,32.2821632742542,193.83,1978.34,0,0,0,0,19168.47,0,0,0,0,0,0,19168.47
362,MADHYA PRADESH,PANNA,1182.9,32712,2179.62,0,5441.41,272.07,5169.34,209.1888,16.724959085686,219.15,4294.8,0,0,0,0,51956.8,0,0,0,0,0,0,51956.8
363,MADHYA PRADESH,RAISEN,1237.6,58600,15457.18,0,17871.34,893.56,16977.78,259.4493,9.41613096647501,271.93,15366.65,0,0,0,0,91974.88,0,0,0,0,0,0,91974.88
364,MADHYA PRADESH,RAJGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89632.58,0,0,0,0,0,0,89632.58
365,MADHYA PRADESH,RATLAM,953.5,8614,443.91,0,1779.03,88.95,1690.08,14.69928,14.4786045630976,15.46,1444.62,0,0,0,0,78884.9,0,0,0,0,0,0,78884.9
366,MADHYA PRADESH,REWA,1143.1,85364,3912.96,0,7901.21,395.06,7506.15,1184.46588,51.8966447513039,1263.84,3531.33,0,0,0,0,51557.71,0,0,0,0,0,0,51557.71
367,MADHYA PRADESH,SAGAR,1197.6,40053,3433.49,0,6763.89,338.18,6425.71,159.1445625,16.8874723571403,164.89,5334.82,0,0,0,0,103451.02,0,0,0,0,0,0,103451.02
368,MADHYA PRADESH,SATNA,1075.5,47108,3066.24,0,9510.77,475.54,9035.23,369.42234,10.1348831186367,387.45,8101.5,0,0,0,0,74089.29,0,0,0,0,0,0,74089.29
369,MADHYA PRADESH,SEHORE,1217.7,95559,9848.1,0,18001.74,900.09,17101.65,371.83353,19.9440989612114,393.95,13668.76,0,0,0,0,67990.43,0,0,0,0,0,0,67990.43
370,MADHYA PRADESH,SEONI,1323.6,71956,4212.02,0,6104.86,305.26,5799.6,282.48153,19.168390923512,295.4,4674.99,0,0,0,0,68251.02,0,0,0,0,0,0,68251.02
371,MADHYA PRADESH,SHAHDOL,1131.4,5047,233,0,718.54,35.93,682.61,53.65062,10.7894698290385,55.94,606.67,0,0,0,0,49100.59,0,0,0,0,0,0,49100.59
372,MADHYA PRADESH,SHAJAPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53756.12,0,0,0,0,0,0,53756.12
373,MADHYA PRADESH,SHEOPUR,799.2,71150,8472.61,0,24702.13,2397.67,22304.46,392.34726,9.27796503479573,415.29,20212.12,0,0,0,0,51351.73,0,0,0,0,0,0,51351.73
374,MADHYA PRADESH,SHIVPURI,994.9,69421,3161.83,0,9755.45,626.89,9128.56,332.31498,32.6864258984988,353.04,6124.03,0,0,0,0,82707.48,0,0,0,0,0,0,82707.48
375,MADHYA PRADESH,SIDHI,1154.15,48890,2979.76,0,4269.9,213.49,4056.41,272.1513,10.3598995170607,290.1,3618.22,0,0,0,0,28840.9,0,0,0,0,0,0,28840.9
376,MADHYA PRADESH,SINGRAULI,1175.6,6602,634.14,0,1076.46,53.82,1022.64,179.2296,31.9076116717515,194.31,681.26,0,0,0,0,35178.18,0,0,0,0,0,0,35178.18
377,MADHYA PRADESH,TIKAMGARH,1070.3,26862,2196.9,0,6166.37,308.33,5858.04,249.29208,39.7030406074387,301.03,3480.48,0,0,0,0,38819.36,0,0,0,0,0,0,38819.36
378,MADHYA PRADESH,UJJAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93741.4,0,0,0,0,0,0,93741.4
379,MADHYA PRADESH,UMARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35520.71,0,0,0,0,0,0,35520.71
380,MADHYA PRADESH,VIDISHA,1135.3,76287,9945.21,0,13480.27,674.02,12806.25,446.17308,15.7642557345046,480.17,10753.44,0,0,0,0,90268.86,0,0,0,0,0,0,90268.86
381,MAHARASHTRA,Ahmednagar,566.852889573803,366203.14,23826.46,0,57557.85,3001.65,54556.2,1629.9425,84.8336760991418,1629.93,12151.12,0,0,0,0,152887.61,0,0,0,0,0,0,152887.61
382,MAHARASHTRA,Akola,771.730162584829,48014.32,3206.36,0,7782.65,645.48,7137.17,307.269855,51.421501799733,307.26,3467.13,0,0,0,0,36856.6267606608,0,0,0,0,0,0,36856.6267606608
383,MAHARASHTRA,Amravati,861.884221057843,48476,4020.67,0,17096.69,1035.88,16060.81,940.759475,59.4932011523703,940.75,7811.97,0,0,0,0,77822.2239200597,0,0,0,0,0,0,77822.2239200597
384,MAHARASHTRA,Aurangabad,621.132206504972,152345,11796.61,0,29218.76,1532.62,27686.14,732.3825,69.1793800074694,732.35,8533.04,0,0,0,0,112554.91,0,0,0,0,0,0,112554.91
385,MAHARASHTRA,Beed,703.689253264509,104227,8981.97,0,28340.69,1458.99,26881.7,936.3015,41.533831565712,936.33,15716.7,0,0,0,0,123458.19,0,0,0,0,0,0,123458.19
386,MAHARASHTRA,Bhandara,1433.47407868503,106831,7648.02415096443,0,60544.2035488906,5345.54834429702,55198.6552045936,1424.69190447151,13.3249795286034,1425.10250195117,47843.0456985171,0,0,0,0,87273.370277293,0,0,0,0,0,0,87273.370277293
387,MAHARASHTRA,Buldhana,759.547808414281,62489,4899.96,0,10694.92,683.02,10011.9,685.251635,54.4877595661163,685.28,4556.64,0,0,0,0,86320.6793650861,0,0,0,0,0,0,86320.6793650861
388,MAHARASHTRA,Chandrapur,1294.69805481354,84979,6812.95,0,17931.95,1033.27,16898.68,2881.962,27.3354486859329,2881.94,12279.35,0,0,0,0,111137.71,0,0,0,0,0,0,111137.71
389,MAHARASHTRA,Dhule,653.061828743809,49061,3555.8,0,18826.41,1285.25,17541.16,328.33962,45.7030207808378,328.32,9524.32,0,0,0,0,69225,0,0,0,0,0,0,69225
390,MAHARASHTRA,Gadchiroli,1160.59820374687,22679.71,1808.54,0,6130.92,389.87,5741.05,501.274,20.7341862551276,501.29,4550.69,0,0,0,0,101426.596962847,0,0,0,0,0,0,101426.596962847
391,MAHARASHTRA,Gondia,1463.05526605255,81245.98,6989.95,0,25776.6,1756.51,24020.09,3428.456045,32.5675299301543,3428.45,16197.34,0,0,0,0,62050.44,0,0,0,0,0,0,62050.44
392,MAHARASHTRA,Hingoli,1003.78731729229,169191,19322.29,0,61154.61,3057.71,58096.9,769.39,31.6629458714665,769.39,39701.71,0,0,0,0,97779.37,0,0,0,0,0,0,97779.37
393,MAHARASHTRA,Jalgaon,673.453349093303,167090,11970.78,0,41272.97,2437.16,38835.81,1281.8405,72.8093993662035,1281.81,11600.14,0,0,0,0,136987.7,0,0,0,0,0,0,136987.7
394,MAHARASHTRA,Jalna,681.634248898331,54299.44,3517.34,0,15280.15,781,14499.15,185.9077,38.5594327943362,1321.87,8367,0,0,0,0,80351.24,0,0,0,0,0,0,80351.24
395,MAHARASHTRA,Kolhapur,1643.825456503,18529.67,2218.04,0,11948.87,1152.78,10796.09,82.08,23.5798330691945,82.08,8250.39,0,0,0,0,127793.68,0,0,0,0,0,0,127793.68
396,MAHARASHTRA,Latur,694.121396135696,44924,2516.01,0,6255.14,371.22,5883.92,352.1732,77.075147180791,352.18,1813.64,0,0,0,0,66923.59,0,0,0,0,0,0,66923.59
397,MAHARASHTRA,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477.65,0,0,0,0,0,0,1477.65
398,MAHARASHTRA,Mumbai Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6795.68,0,0,0,0,0,0,6795.68
399,MAHARASHTRA,Nagpur,1177.76826162063,226924,15498.2934644399,0,38312.8911043787,2205.08298363827,36107.8081207404,3969.93618243538,38.1574058232124,3969.9368189926,22343.4052422426,0,0,0,0,97081.4553332635,0,0,0,0,0,0,97081.4553332635
400,MAHARASHTRA,Nanded,1020.57566265273,124499.6,13231.36,0,23902.24,1204.14,22698.1,1156.7549832,46.9495684660831,1156.78,12064.63,0,0,0,0,119319.56,0,0,0,0,0,0,119319.56
401,MAHARASHTRA,Nandurbar,852.436291522062,18153,1549.34,0,6568.71,460.68,6108.03,821.998425,44.3417926892959,822,3399.62,0,0,0,0,49060.4943243243,0,0,0,0,0,0,49060.4943243243
402,MAHARASHTRA,Nashik,741.474358335757,165024,13482.61,0,45734.46,3023.78,42710.68,807.00604,47.9727084654236,807,23032.02,0,0,0,0,189770.54,0,0,0,0,0,0,189770.54
403,MAHARASHTRA,Osmanabad,771.473728413468,40245,3818.31,0,5339.71,310.36,5029.35,344.088,77.4980862338076,344.07,1311.79,0,0,0,0,84683.13,0,0,0,0,0,0,84683.13
404,MAHARASHTRA,Palghar,2196.00847930649,17880,1149.69,0,3688.04,221.11,3466.93,145.96491,21.075995188827,145.98,2736.24,0,0,0,0,20754.02,0,0,0,0,0,0,20754.02
405,MAHARASHTRA,Parbhani,918.904277508711,253138,25368.79,0,45799.71,2289.95,43509.76,847.14,40.9369300129442,847.13,25698.21,0,0,0,0,82906.21,0,0,0,0,0,0,82906.21
406,MAHARASHTRA,Pune,534.211009225406,337817.1,20189.78,0,82846.15,7120.76,75725.39,2919.7982,65.3603896922816,2919.8,28213.48,0,0,0,0,180459.326960368,0,0,0,0,0,0,180459.326960368
407,MAHARASHTRA,Raigad,2869.1412455865,15294,1111.59,0,5381.34,307.72,5073.62,80.77938,7.06241303053835,80.8,4715.3,0,0,0,0,36137.84,0,0,0,0,0,0,36137.84
408,MAHARASHTRA,Ratnagiri,3583.67233872259,6247,473.39,0,1346.64,70.91,1275.73,80.0714,26.2485008583321,80.07,940.87,0,0,0,0,38789.73,0,0,0,0,0,0,38789.73
409,MAHARASHTRA,Sangli,595.887295604147,353157.36,23386.2133562593,0,94971.3074022408,6882.61607408197,88088.6913281588,1714.12881901419,51.2575791795637,1714.10006369946,43125.7406223864,0,0,0,0,131740.919399552,0,0,0,0,0,0,131740.919399552
410,MAHARASHTRA,Satara,763.094551686327,74325.75,5764.04,0,37299.96,3028.81,34271.15,1150.947,45.765432440989,1150.96,18586.79,0,0,0,0,104697.58,0,0,0,0,0,0,104697.58
411,MAHARASHTRA,Sindhudurg,3528.23046324804,2260.56,186.43,0,597.49,37.52,559.97,62.17848,59.519259960355,62.17,226.68,0,0,0,0,22168.09,0,0,0,0,0,0,22168.09
412,MAHARASHTRA,Solapur,640.584204758574,197286,12164.32,0,35018.7,1817.97,33200.73,1127.93188,85.324449191328,1127.92,9686.65,0,0,0,0,138855.1,0,0,0,0,0,0,138855.1
413,MAHARASHTRA,Thane,2606.93163061088,10493,670.5,0,2166.56,115.34,2051.22,49.41151,6.72867854252591,49.41,1913.2,0,0,0,0,16336.96,0,0,0,0,0,0,16336.96
414,MAHARASHTRA,Wardha,1030.1509933963,204128,19747.85,0,36072.97,1905.52,34167.45,1161.77339,44.1041107838015,1161.78,19241.8,0,0,0,0,84882.65,0,0,0,0,0,0,84882.65
415,MAHARASHTRA,Washim,904.985901667758,27347.49,2242.21,0,9161.95,459.26,8702.69,628.342011,32.6086531865435,628.33,5864.86,0,0,0,0,59944.03,0,0,0,0,0,0,59944.03
416,MAHARASHTRA,Yawatmal,997.350588115598,193775.68,16338.07,0,25946.57,1729.31,24217.26,1594.008144,35.0662709158674,1594,15728.45,0,0,0,0,118034.46,0,0,0,0,0,0,118034.46
417,MANIPUR,BISHNUPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190080,200802.49,0,0,0,0,0,0,200802.49
418,MANIPUR,CHANDEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,MANIPUR,CHURACHANPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154080,161538.38,0,0,0,0,0,0,161538.38
420,MANIPUR,IMPHAL EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178544.4,191997.91,0,0,0,0,0,0,191997.91
421,MANIPUR,IMPHAL WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188560,196389.45,0,0,0,0,0,0,196389.45
422,MANIPUR,SENAPATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,MANIPUR,TAMENGLONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,MANIPUR,THOUBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220800,227943.71,0,0,0,0,0,0,227943.71
425,MANIPUR,UKHRUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,MEGHALAYA,EAST GARO HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26817.32,35301.9,0,0,0,0,0,0,35301.9
427,MEGHALAYA,EAST JAINTIA HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21591.5,36850.13,0,0,0,0,0,0,36850.13
428,MEGHALAYA,EAST KHASI HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17382.79,37807.39,0,0,0,0,0,0,37807.39
429,MEGHALAYA,NORTH GARO HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37706.23,46057.04,0,0,0,0,0,0,46057.04
430,MEGHALAYA,RI BHOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9954.85,15876.98,0,0,0,0,0,0,15876.98
431,MEGHALAYA,SOUTH GARO HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31202.96,52379.51,0,0,0,0,0,0,52379.51
432,MEGHALAYA,SOUTH WEST GARO HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52013.57,56455.75,0,0,0,0,0,0,56455.75
433,MEGHALAYA,SOUTH WEST KHASI HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9707.4,22629.47,0,0,0,0,0,0,22629.47
434,MEGHALAYA,WEST GARO HILLS,0,0,0,0,-2310.23,0,-2310.23,0,0,0,0,0,0,0,87850.29,105432.59,0,0,0,0,0,0,105432.59
